"id","name","model_id:id","group_id:id","perm_read","perm_write","perm_create","perm_unlink"
"access_account_budget_post","/","account_budget.model_account_budget_post","base.group_user",1,0,0,0
"access_crossovered_budget","/","account_budget.model_crossovered_budget","base.group_user",1,0,0,0
"access_crossovered_budget_lines","/","account_budget.model_crossovered_budget_lines","base.group_user",1,0,0,0
"access_stock_move","/","stock.model_stock_move","base.group_user",1,0,0,0
"access_account_tax_code","/","account.model_account_tax_code","base.group_user",1,0,0,0
"access_account_invoice_tax","/","account.model_account_invoice_tax","base.group_user",1,1,1,0
"access_account_move","/","account.model_account_move","base.group_user",1,0,0,0
"access_account_move_line","/","account.model_account_move_line","base.group_user",1,0,0,0
"access_account_move_reconcile","/","account.model_account_move_reconcile","base.group_user",1,0,0,0
"access_account_journal_period","/","account.model_account_journal_period","base.group_user",1,0,0,0
"access_account_journal","/","account.model_account_journal","base.group_user",1,0,0,0
"access_account_period","/","account.model_account_period","base.group_user",1,0,0,0
"access_account_invoice","/","account.model_account_invoice","base.group_user",1,1,1,0
"access_account_invoice_line","/","account.model_account_invoice_line","base.group_user",1,1,1,0
"access_account_invoice_report","/","account.model_account_invoice_report","base.group_user",1,0,0,0
"access_account_analytic_line","/","account.model_account_analytic_line","base.group_user",1,0,0,0
"access_account_account_type","/","account.model_account_account_type","base.group_user",1,0,0,0
"access_report_account_receivable","/","account.model_report_account_receivable","base.group_user",1,0,0,0
"access_account_sequence_fiscalyear","/","account.model_account_sequence_fiscalyear","base.group_user",1,0,0,0
"access_account_financial_report","/","account.model_account_financial_report","base.group_user",1,0,0,0
"access_res_partner_bank","/","base.model_res_partner_bank","base.group_user",1,0,1,0
"access_res_bank","/","base.model_res_bank","base.group_user",1,0,1,0
