id,name,state_id/id
kabupaten_id_1,Badung,state_indonesia_1
kabupaten_id_2,Bangli,state_indonesia_1
kabupaten_id_3,Buleleng,state_indonesia_1
kabupaten_id_4,Denpasar,state_indonesia_1
kabupaten_id_5,Gianyar,state_indonesia_1
kabupaten_id_6,Jembrana,state_indonesia_1
kabupaten_id_7,Karangasem,state_indonesia_1
kabupaten_id_8,Klungkung,state_indonesia_1
kabupaten_id_9,Tabanan,state_indonesia_1
kabupaten_id_10,Bangka,state_indonesia_2
kabupaten_id_11,Bangka Barat,state_indonesia_2
kabupaten_id_12,Bangka Selatan,state_indonesia_2
kabupaten_id_13,Bangka Tengah,state_indonesia_2
kabupaten_id_14,Belitung,state_indonesia_2
kabupaten_id_15,Belitung Timur,state_indonesia_2
kabupaten_id_16,Pangkal Pinang,state_indonesia_2
kabupaten_id_17,Cilegon,state_indonesia_3
kabupaten_id_18,Lebak,state_indonesia_3
kabupaten_id_19,Pandeglang,state_indonesia_3
kabupaten_id_20,Serang,state_indonesia_3
kabupaten_id_21,Tangerang,state_indonesia_3
kabupaten_id_22,Tangerang Selatan,state_indonesia_3
kabupaten_id_23,Bengkulu,state_indonesia_4
kabupaten_id_24,Bengkulu Selatan,state_indonesia_4
kabupaten_id_25,Bengkulu Tengah,state_indonesia_4
kabupaten_id_26,Bengkulu Utara,state_indonesia_4
kabupaten_id_27,Kaur,state_indonesia_4
kabupaten_id_28,Kepahiang,state_indonesia_4
kabupaten_id_29,Lebong,state_indonesia_4
kabupaten_id_30,Muko Muko,state_indonesia_4
kabupaten_id_31,Rejang Lebong,state_indonesia_4
kabupaten_id_32,Seluma,state_indonesia_4
kabupaten_id_33,Bantul,state_indonesia_5
kabupaten_id_34,Gunung Kidul,state_indonesia_5
kabupaten_id_35,Kulon Progo,state_indonesia_5
kabupaten_id_36,Sleman,state_indonesia_5
kabupaten_id_37,Yogyakarta,state_indonesia_5
kabupaten_id_38,Jakarta Barat,state_indonesia_6
kabupaten_id_39,Jakarta Pusat,state_indonesia_6
kabupaten_id_40,Jakarta Selatan,state_indonesia_6
kabupaten_id_41,Jakarta Timur,state_indonesia_6
kabupaten_id_42,Jakarta Utara,state_indonesia_6
kabupaten_id_43,Kepulauan Seribu,state_indonesia_6
kabupaten_id_44,Batang Hari,state_indonesia_7
kabupaten_id_45,Bungo,state_indonesia_7
kabupaten_id_46,Jambi,state_indonesia_7
kabupaten_id_47,Kerinci,state_indonesia_7
kabupaten_id_48,Merangin,state_indonesia_7
kabupaten_id_49,Muaro Jambi,state_indonesia_7
kabupaten_id_50,Sarolangun,state_indonesia_7
kabupaten_id_51,Sungaipenuh,state_indonesia_7
kabupaten_id_52,Tanjung Jabung Barat,state_indonesia_7
kabupaten_id_53,Tanjung Jabung Timur,state_indonesia_7
kabupaten_id_54,Tebo,state_indonesia_7
kabupaten_id_55,Bandung,state_indonesia_8
kabupaten_id_56,Bandung Barat,state_indonesia_8
kabupaten_id_57,Banjar,state_indonesia_8
kabupaten_id_58,Bekasi,state_indonesia_8
kabupaten_id_59,Bogor,state_indonesia_8
kabupaten_id_60,Ciamis,state_indonesia_8
kabupaten_id_61,Cianjur,state_indonesia_8
kabupaten_id_62,Cimahi,state_indonesia_8
kabupaten_id_63,Cirebon,state_indonesia_8
kabupaten_id_64,Depok,state_indonesia_8
kabupaten_id_65,Garut,state_indonesia_8
kabupaten_id_66,Indramayu,state_indonesia_8
kabupaten_id_67,Karawang,state_indonesia_8
kabupaten_id_68,Kuningan,state_indonesia_8
kabupaten_id_69,Majalengka,state_indonesia_8
kabupaten_id_70,Pangandaran,state_indonesia_8
kabupaten_id_71,Purwakarta,state_indonesia_8
kabupaten_id_72,Subang,state_indonesia_8
kabupaten_id_73,Sukabumi,state_indonesia_8
kabupaten_id_74,Sumedang,state_indonesia_8
kabupaten_id_75,Tasikmalaya,state_indonesia_8
kabupaten_id_76,Banjarnegara,state_indonesia_9
kabupaten_id_77,Banyumas,state_indonesia_9
kabupaten_id_78,Batang,state_indonesia_9
kabupaten_id_79,Blora,state_indonesia_9
kabupaten_id_80,Boyolali,state_indonesia_9
kabupaten_id_81,Brebes,state_indonesia_9
kabupaten_id_82,Cilacap,state_indonesia_9
kabupaten_id_83,Demak,state_indonesia_9
kabupaten_id_84,Grobogan,state_indonesia_9
kabupaten_id_85,Jepara,state_indonesia_9
kabupaten_id_86,Karanganyar,state_indonesia_9
kabupaten_id_87,Kebumen,state_indonesia_9
kabupaten_id_88,Kendal,state_indonesia_9
kabupaten_id_89,Klaten,state_indonesia_9
kabupaten_id_90,Kudus,state_indonesia_9
kabupaten_id_91,Magelang,state_indonesia_9
kabupaten_id_92,Pati,state_indonesia_9
kabupaten_id_93,Pekalongan,state_indonesia_9
kabupaten_id_94,Pemalang,state_indonesia_9
kabupaten_id_95,Purbalingga,state_indonesia_9
kabupaten_id_96,Purworejo,state_indonesia_9
kabupaten_id_97,Rembang,state_indonesia_9
kabupaten_id_98,Salatiga,state_indonesia_9
kabupaten_id_99,Semarang,state_indonesia_9
kabupaten_id_100,Sragen,state_indonesia_9
kabupaten_id_101,Sukoharjo,state_indonesia_9
